Combination,Average Deaths
"(64839, 6887, 6160)",25962.0
"(64839, 6887, 7203)",26309.666666666668
"(64839, 6887, 10341)",27355.666666666668
"(64839, 6887, 10282)",27336.0
"(64839, 6887, 9950)",27225.333333333332
"(64839, 6887, 9425)",27050.333333333332
"(64839, 6887, 6839)",26188.333333333332
"(64839, 6887, 8391)",26705.666666666668
"(64839, 6887, 30306)",34010.666666666664
"(64839, 6887, 135084)",68936.66666666667
"(64839, 6887, 175197)",82307.66666666667
"(64839, 6887, 21022)",30916.0
"(64839, 15064, 9605)",29836.0
"(64839, 15064, 6810)",28904.333333333332
"(64839, 15064, 8120)",29341.0
"(64839, 15064, 24107)",34670.0
"(64839, 15064, 22571)",34158.0
"(64839, 15064, 14271)",31391.333333333332
"(64839, 15064, 9896)",29933.0
"(64839, 15064, 10659)",30187.333333333332
"(64839, 15064, 7452)",29118.333333333332
"(64839, 15064, 6358)",28753.666666666668
"(64839, 15064, 6045)",28649.333333333332
"(64839, 15064, 1600)",27167.666666666668
"(64839, 15064, 3694)",27865.666666666668
"(64839, 15064, 3379)",27760.666666666668
"(64839, 15064, 4673)",28192.0
"(64839, 15064, 5610)",28504.333333333332
"(64839, 15064, 3971)",27958.0
"(64839, 15064, 8463)",29455.333333333332
"(64839, 15064, 6160)",28687.666666666668
"(64839, 15064, 7203)",29035.333333333332
"(64839, 15064, 10341)",30081.333333333332
"(64839, 15064, 10282)",30061.666666666668
"(64839, 15064, 9950)",29951.0
"(64839, 15064, 9425)",29776.0
"(64839, 15064, 6839)",28914.0
"(64839, 15064, 8391)",29431.333333333332
"(64839, 15064, 30306)",36736.333333333336
"(64839, 15064, 135084)",71662.33333333333
"(64839, 15064, 175197)",85033.33333333333
"(64839, 15064, 21022)",33641.666666666664
"(64839, 9605, 6810)",27084.666666666668
"(64839, 9605, 8120)",27521.333333333332
"(64839, 9605, 24107)",32850.333333333336
"(64839, 9605, 22571)",32338.333333333332
"(64839, 9605, 14271)",29571.666666666668
"(64839, 9605, 9896)",28113.333333333332
"(64839, 9605, 10659)",28367.666666666668
"(64839, 9605, 7452)",27298.666666666668
"(64839, 9605, 6358)",26934.0
